id,parent,cgLowerBound,FS,rdtCG,rdtFS,Child,Child,,,,,,,,,,,,,
15,14,383.083,0,3.821,0,Prune by CG,,3-7-3 = 1.0,3-20-6-15-3 = 1.0,3-16-9-3 = 1.0,3-14-18-8-3 = 1.0,4-13-11-4 = 1.0,4-19-17-4 = 1.0,4-12-10-4 = 1.0,,,,,,
16,14,382.295,0,3.033,0,Prune by CG,,3-16-3 = 1.0,3-7-6-15-3 = 1.0,3-20-9-3 = 1.0,3-14-18-8-3 = 1.0,4-13-11-4 = 1.0,4-19-17-4 = 1.0,4-12-10-4 = 1.0,,,,,,
5,3,379.688,4,1.668,2,17,18,3-7-3 = 0.5,3-9-3 = 0.5,3-16-3 = 1.0,3-7-6-15-3 = 0.5,3-20-9-3 = 0.5,3-20-6-15-3 = 0.5,3-14-18-8-3 = 1.0,4-17-10-4 = 1.0,4-13-11-4 = 0.5,4-19-11-12-4 = 0.5,4-19-13-12-4 = 0.5,,
17,5,380.082,3,0.394,-1,19,20,3-7-3 = 1.0,3-9-3 = 0.5,3-16-3 = 0.5,3-20-6-15-3 = 1.0,3-16-9-3 = 0.5,3-14-18-8-3 = 1.0,4-17-10-4 = 1.0,4-13-11-4 = 0.5,4-19-11-12-4 = 0.5,4-19-13-12-4 = 0.5,,,
18,5,380.756,3,1.068,-1,21,22,4-10-4 = 0.5,3-16-3 = 1.0,4-17-4 = 0.5,3-7-6-15-3 = 1.0,3-20-9-3 = 1.0,3-14-18-8-3 = 1.0,4-17-10-4 = 0.5,4-13-11-4 = 0.5,4-19-11-12-4 = 0.5,4-19-13-12-4 = 0.5,,,
21,18,381.387,0,0.631,-3,Integer,,3-16-3 = 1.0,4-17-4 = 1.0,3-7-6-15-3 = 1.0,3-20-9-3 = 1.0,3-14-18-8-3 = 1.0,4-13-10-4 = 1.0,4-19-11-12-4 = 1.0,,,,,,
22,18,385.392,0,4.637,0,Prune by CG,,4-10-4 = 1.0,3-16-3 = 1.0,3-7-6-15-3 = 1.0,3-20-9-3 = 1.0,3-14-18-8-3 = 1.0,4-11-17-4 = 1.0,4-19-13-12-4 = 1.0,,,,,,
10,4,381.757,3,4.18,-1,Prune by UB,,3-7-6-15-3 = 0.5,3-7-16-3 = 0.5,3-20-9-3 = 1.0,3-14-18-8-3 = 1.0,4-17-10-4 = 1.0,4-13-11-12-4 = 0.5,4-19-11-4 = 0.5,4-19-13-12-4 = 0.5,3-16-6-15-3 = 0.5,,,,
19,17,381.544,3,1.462,0,Prune by UB,,3-7-3 = 1.0,4-10-4 = 0.5,4-17-4 = 0.5,3-20-6-15-3 = 1.0,3-16-9-3 = 1.0,3-14-18-8-3 = 1.0,4-17-10-4 = 0.5,4-13-11-4 = 0.5,4-19-11-12-4 = 0.5,4-19-13-12-4 = 0.5,,,
11,8,381.359,4,2.489,1,23,24,3-7-3 = 0.5,3-9-3 = 0.5,3-16-3 = 1.0,3-7-6-15-3 = 0.5,3-20-9-3 = 0.5,3-20-6-15-3 = 0.5,3-14-18-8-3 = 1.0,4-13-11-4 = 0.5,4-19-11-4 = 0.5,4-19-13-4 = 0.5,4-12-17-10-4 = 1.0,,
23,11,381.753,0,0.394,0,Prune by CG,,3-7-3 = 1.0,3-9-3 = 0.5,3-16-3 = 0.5,3-20-6-15-3 = 1.0,3-16-9-3 = 0.5,3-14-18-8-3 = 1.0,4-13-11-4 = 0.5,4-19-11-4 = 0.5,4-19-13-4 = 0.5,4-12-17-10-4 = 1.0,,,
24,11,382.427,0,1.068,0,Prune by CG,,4-10-4 = 0.5,3-16-3 = 1.0,3-7-6-15-3 = 1.0,3-20-9-3 = 1.0,3-14-18-8-3 = 1.0,4-13-11-4 = 0.5,4-19-11-4 = 0.5,4-19-13-4 = 0.5,4-12-17-4 = 0.5,4-12-17-10-4 = 0.5,,,
20,17,381.74,3,1.658,0,Prune by UB,,3-7-3 = 0.5,3-9-3 = 0.5,3-16-3 = 1.0,3-7-9-3 = 0.5,3-20-6-15-3 = 1.0,3-14-18-8-3 = 1.0,4-17-10-4 = 1.0,4-13-11-4 = 0.5,4-19-11-12-4 = 0.5,4-19-13-12-4 = 0.5,,,
13,12,381.373,4,2.496,2.5,25,26,3-7-3 = 0.5,3-9-3 = 0.5,4-12-4 = 1.0,3-16-3 = 1.0,3-7-6-15-3 = 0.5,3-20-9-3 = 0.5,3-20-6-15-3 = 0.5,3-14-18-8-3 = 1.0,4-17-10-4 = 1.0,4-13-11-4 = 0.5,4-19-11-4 = 0.5,4-19-13-4 = 0.5,
25,13,381.767,0,0.394,0,Prune by CG,,3-7-3 = 1.0,3-9-3 = 0.5,4-12-4 = 1.0,3-16-3 = 0.5,3-20-6-15-3 = 1.0,3-16-9-3 = 0.5,3-14-18-8-3 = 1.0,4-17-10-4 = 1.0,4-13-11-4 = 0.5,4-19-11-4 = 0.5,4-19-13-4 = 0.5,,
26,13,382.441,0,1.068,0,Prune by CG,,4-10-4 = 0.5,4-12-4 = 1.0,3-16-3 = 1.0,4-17-4 = 0.5,3-7-6-15-3 = 1.0,3-20-9-3 = 1.0,3-14-18-8-3 = 1.0,4-17-10-4 = 0.5,4-13-11-4 = 0.5,4-19-11-4 = 0.5,4-19-13-4 = 0.5,,
1,0,382.707,1.5,5.576,-1.5,Prune by UB,,3-7-6-20-3 = 1.0,3-18-8-3 = 1.0,3-16-9-3 = 1.0,3-14-15-3 = 1.0,4-17-10-4 = 1.0,4-13-11-12-4 = 0.5,4-19-11-4 = 0.5,4-19-13-12-4 = 0.5,,,,,
